,Job Type,Job Experience,Position,Vacancy Count,Company,Location,Industries,Job Title,Job Requirement,Job Salary,Skills,Date Created,Job Posting Link,Job Id,Language,Career Level,Salary Min,Salary Max
210,Full-time,1 to 4 years,Logistics & Operations,1.0,Somethinc - Beautyhaul,"Jakarta, Indonesia",Marketplaces,Procurement & GA Admin,"Find new potential suppliers & maintain relationships with existing suppliers
Creating purchasing orders based on an approved budget.
Tracking and maintaining the status of orders, and reporting any delivery issues.
Creating monthly and annual purchase reports for management review.", 0 – 0,"Procurement, Logistics, Purchasing",2022-04-21,https://www.techinasia.com/jobs/e7244510-f02b-4d31-8a5c-9d433d7588f0,6460382483,en,Junior Level,0.0,0.0
211,Full-time,1 to 4 years,DevOps & Cloud Management,5.0,DOKU,"Jakarta, Indonesia",Technology,TechOps / DevOps Engineer,"Restore a failed IT service of related Product as quickly as possible, and ensuring appropriate workarounds put in place if incidents are not resolvable within the agreed SLA
Analyze existing IT services of related product and plan how to improve it in the future
Prevent incident from happening, and to minimize the impact of incidents that cannot be prevented, maintaining known errors and workarounds
Liaise with merchants and other IT personnel for applications (related to product) troubleshooting, configuration and maintenance
Manage lifecycle and release management procescess for applications
Responsible for the continuous delivery process to build, deploy and promote applications
Ensure apps have automated functional tests that are used by the continuous delivery process to determine successful deployment and operation of applications
Acts as 2nd level support of applications, triaging issues, and disseminating them to other IT personnel as required
Implement integration for merchants that cannot be done with self-Integration service", 0 – 0,"Web Technologies, Jenkins, Technology, Technical Support, Communication Skills, Information Technology, Teamwork",2022-04-21,https://www.techinasia.com/jobs/9e8fa20d-1f31-4d73-9a46-e95dcbe40e11,5149623161,en,Junior Level,0.0,0.0
212,Full-time,1 to 4 years,Web Development,1.0,Indocyber Global Teknologi,"Jakarta, Indonesia",Technology,Back End Developer,"Development of new software and tools according to business requirements
Support and monitoring of software deployed to production environment
Improvement and maintenance of deployed application according to new changes
Track and monitor system issues
Provide application support for business users and internal customers
Perform software tests
To cooperate with our international SW provider
To create, prepare, and maintain system documentation
Take care of system localization", 0 – 0,"Backend Development, MySQL, Javascript, HTML5  CSS3, Java, Javascript Frameworks, Spring",2022-04-21,https://www.techinasia.com/jobs/03fc2c46-d63c-4fdc-8ff1-abe53dfd07af,3025049499,en,Junior Level,0.0,0.0
213,Full-time,1 to 4 years,Web Development,1.0,Indocyber Global Teknologi,"Jakarta, Indonesia",Technology,Angular Developer,"Individuals must have minimum 2 years of Angular Software Developer experience;
Proven track in designing and programming in Angular;
Good understanding in design tools (e.g. Figma), and able to convert mock-up design into code accurately;
Good understanding in interaction with back-end services (web API) and security measures needed to be implemented (e.g. JWT).", 0 – 0,"REST APIs, Angular, APIs",2022-04-21,https://www.techinasia.com/jobs/a29dcfab-8db7-457e-bdf1-d78284ca4e6b,3025049499,en,Junior Level,0.0,0.0
214,Full-time,1 to 4 years,Web Development,1.0,Avows Technologies,"Jakarta, Indonesia",Customer Services,Golang Developer,"Developing and maintaining server-side applications directly interacts with databases using Application Programming Interface (API),
Database creation, integration, and management
Implement solutions to complex and flexible business features
Develop enhancement, fixing and project within timeline
Participate in all phases of the development cycle, focusing on coding, testing, and debugging and Conducting research, evaluating and analyzing technical and design requirements
Write code so that the system is able to interact with the database, ensuring that the written code is safe from any interference (inside & out)", 8000000 – 15000000,"MySQL, Agile, SQL Server, REST APIs, Golang, SQL, Agile Software Development, APIs, Agile Project Management",2022-04-21,https://www.techinasia.com/jobs/33c36521-5229-4622-b1f3-eb5313feb094,1553762745,en,Junior Level,8000000.0,15000000.0
215,Full-time,1 to 4 years,"Finance, Legal & Accounting",1.0,Rukita,"Jakarta, Indonesia",Marketplaces,Jr. Legal Associate,"Able to draft and review contract such as cooperation agreement, non-disclosure, memorandum of understanding, as well as other types of contracts and documents to comply with the prevailing laws and regulations, both in English and Bahasa Indonesia, in relation to the company's business and operation.
To prepare corporate documentations and other documents required for the company to operate its business in accordance with the prevailing laws and regulations and company's articles of association.
Conduct legal research to support company's business divisions in conducting the business activities in order to always comply with the  prevailing laws and regulations.
Maintain company's license and permit including report to authorities, as the license and permit are important for continuity of business activities.
Maintain good communication with business divisions in the company, both in English and Bahasa Indonesia.", 4500000 – 5000000,"Attention to Detail, Legal, Filing",2022-04-21,https://www.techinasia.com/jobs/f57a1c65-d946-44b7-9202-c7343f1bfd58,1271058244,en,Junior Level,4500000.0,5000000.0
216,Full-time,1 to 4 years,Mobile Development,1.0,Indocyber Global Teknologi,"Jakarta, Indonesia",Technology,Senior Mobile Developer,"Collaborate in agile software development teams
Building, testing, optimizing stable and great products
Maintain documentation, code quality and automatization environment
Willing to learn and adapt different technologies", 0 – 0,"Mobile Application Development, Mobile Development, iOS Development",2022-04-21,https://www.techinasia.com/jobs/82504daa-85cd-4e55-ab03-0acaaf2740f7,3025049499,en,Junior Level,0.0,0.0
217,Full-time,1 to 4 years,"Finance, Legal & Accounting",1.0,Quantum Select International,"Jakarta, Indonesia",Consulting,Account Payable,No Description, 5000000 – 6500000,"Accounts Payable, Accounting, Microsoft Excel",2022-04-21,https://www.techinasia.com/jobs/2c5c30a4-7d17-43c7-abde-52a4f89e22c8,2685666241,en,Junior Level,5000000.0,6500000.0
218,Full-time,1 to 4 years,Administrative & Clerical,3.0,MyRobin,"Yogyakarta, Indonesia",Human Resources,Recruitment Admin,No Description, 2500000 – 2800000,"Attention to Detail, Data Management, Microsoft Excel",2022-04-21,https://www.techinasia.com/jobs/89d81d52-3594-4086-ac21-28b516dcf28d,1350499120,en,Junior Level,2500000.0,2800000.0
219,Contract,1 to 4 years,Mobile Development,5.0,Indocyber Global Teknologi,"Jakarta, Indonesia",Technology,Android Developer,"Collaborate in agile software development teams
Building, testing, optimizing stable and great products
Maintain documentation, code quality and automatization environment
Willing to learn and adapt different technologies", 0 – 0,"iOS Development, Android, Swift, SDK",2022-04-21,https://www.techinasia.com/jobs/af8a3a37-b54c-4a27-b370-3ff55d15d092,3025049499,en,Junior Level,0.0,0.0
221,Full-time,1 to 4 years,Customer Service,1.0,Mekari (PT. Mid Solusi Nusantara),"Jakarta, Indonesia",Technology,Customer Support - HRIS,"Handle user inquiries and complaints through live chat/phone call/email
Ensure user satisfaction through feedback and solution
Inform user in case of website maintenance or any problems occurred", 5000000 – 7000000,"Payroll, Human Resources, Customer Service",2022-04-21,https://www.techinasia.com/jobs/552098cb-740b-430f-be8d-10b248ba96e4,2196717593,en,Junior Level,5000000.0,7000000.0
222,Full-time,1 to 4 years,Customer Service,1.0,Mekari (PT. Mid Solusi Nusantara),"Jakarta, Indonesia",Technology,Technical Support - Accounting,"Coordinating with Customer Support Team and other commercial stakeholders by clarifying the customer’s complaint
Coordinating with Product and Engineering Team to resolve product problems
Provide technical support to customers for any issues that arise with the use of our products", 5000000 – 7000000,"Accounting, MySQL, Information Technology",2022-04-21,https://www.techinasia.com/jobs/b5c85a13-c085-4b66-9bd3-8b4793088cf2,2196717593,en,Junior Level,5000000.0,7000000.0
224,Contract,1 to 4 years,Web Development,1.0,SIGMATECH,"Jakarta, Indonesia",Technology,Software Developer - Oil & Gas Industry,No Description, 8000000 – 18000000,"Java J2EE, Java, Angular, PostgreSQL",2022-04-21,https://www.techinasia.com/jobs/3c970c74-c121-48d0-a81f-26262851a04c,2611213220,en,Junior Level,8000000.0,18000000.0
226,Full-time,1 to 4 years,QA & Testing,4.0,Farmacare,"Denpasar, Bali, Indonesia",Technology,Quality Engineer / Automation Test Developer,"work closely with Frontend devs, Backend devs, TechOps, Products, and Customer Success in understanding the user's goal and developing new functions and capabilities for our web app,
ensure our development met the user acceptance criteria as well as the stability of the system by testing the system and giving feedback to the development team,
write easily maintainable and readable automation test codes as well as make sure that it runs well,
proactively share solutions and ideas on how we can make our products more useful for the users,
ensure smooth deployment process,
help identify, confirm, and assist in bugfixes to ensure quick fixes are delivered to customers,
continuously learning in the process and ready to share your learnings with others, in and out of the company", 6000000 – 13000000,"Test Automation, Selenium, Git, Communication Skills, Python, Javascript, Web Technologies, Amazon Web Services (AWS), Web Services, Web Development, Analytical Skills",2022-04-21,https://www.techinasia.com/jobs/79e3f46c-c5aa-476d-b8e3-0f85626e8179,2856720792,en,Junior Level,6000000.0,13000000.0
227,Full-time,1 to 4 years,DevOps & Cloud Management,2.0,Farmacare,"Denpasar, Bali, Indonesia",Technology,Tech Ops,"owning our production-level products—monitoring and ensuring its activity to ensure optimal performance for our users,
empower Customer Success and our internal operation to help provide the best solution to our customers,
assist in bugfixes and ensure quick fixes are delivered to customers,
assist in troubleshooting technical issues as well as hurdles that our customer and team has, 
work closely with Frontend devs, Backend devs, QE, Products, and Customer Success in understanding the user's goal and developing new functions and capabilities for our web app,
proactively share solutions and ideas on how we can make our products more useful for the users
continuously learning in the process and ready to share your learnings with others, in and out of the company", 6000000 – 13000000,"Cloud Computing, Amazon Web Services (AWS), MySQL, PostgreSQL, Data Warehouse, Data Visualization, Data Management, Databases, Web Applications, Communication Skills, Javascript, Python, Golang",2022-04-21,https://www.techinasia.com/jobs/9134dbf3-a496-4c73-b6c7-ae8db868708f,2856720792,en,Junior Level,6000000.0,13000000.0
228,Full-time,1 to 4 years,Web Development,1.0,Farmacare,"Denpasar, Bali, Indonesia",Technology,Backend Developer,"work closely with Frontend devs, TechOps, Products, and Customer Success in understanding the user's goal and developing new functions and capabilities for our web apps,
proactively share solutions and ideas on how we can make our products more useful for the users
write easily maintainable and readable codes as well as its unit tests,
maintain and improve our backend's performance so that it can provide a speedy response with accurate calculations and data,
ensure smooth deployment process,
assist in bugfixes and ensure quick fixes are delivered to customers,
continuously learning in the process and ready to share your learnings with others, in and out of the company", 6000000 – 13000000,"SaaS, Cloud Computing, Golang, Python, Git, Amazon Web Services (AWS), MySQL, Communication Skills",2022-04-21,https://www.techinasia.com/jobs/82e768bd-8962-48ce-8b4a-38543106309c,2856720792,en,Junior Level,6000000.0,13000000.0
229,Full-time,1 to 4 years,"Finance, Legal & Accounting",1.0,PT. ASLI Rancangan Indonesia,"Jakarta, Indonesia",Technology,Finance & Accounting,"Make Financial Reports presented in a timely, accurate and comply with applicable accounting regulations to be presented to management.
Carry out accounting records for every company transaction
Prepare monthly reports to be sent to OJK
Taking care of all matters related to company obligations such as: taxes, BPJS and so on
Manage petty cash for daily shopping needs
Plan and coordinate the preparation of the company's budget, and control the use of the budget
Responsible for making payments to vendors
Ensure comprehensive analysis of financial statements by developing and developing working papers for anlysis of combined, consilidated and unit financial statements", 0 – 0,"Corporate Finance, Accounting, Financial Analysis",2022-04-21,https://www.techinasia.com/jobs/171c91e8-014d-449d-a31c-0daec9001b73,8779306555,en,Junior Level,0.0,0.0
230,Full-time,1 to 4 years,"Finance, Legal & Accounting",1.0,Dagangan,"Yogyakarta, Indonesia",Marketplaces,Account Payable,"Bachelor’s Degree in Accounting/Finance with 1-2 years of working experience
Solid understanding of basic accounting and accounts payable principles
Familiar with accurate or any other accounting software
Have extensive knowledge in Microsoft Excel (able to use formula related to finance)
Willing to relocate to Yogyakarta", 0 – 0,"Accounting, Accounts Payable, Microsoft Excel",2022-04-21,https://www.techinasia.com/jobs/98e2aeaf-e89e-4f02-b814-f6028204374f,7909545160,en,Junior Level,0.0,0.0
231,Full-time,1 to 4 years,Web Development,3.0,Tunaiku,"Jakarta, Indonesia",Technology,Back End Engineer,"Write high-quality, clean, maintainable code using engineering best  practices (unit testing, source control, continuous integration, automation, design patterns, etc.)
Collaborate with other software engineers, product owners, user experience designer, and operations engineers to build new products.
Bringing forward technology ideas for continuous improvements to products and processes.
Design and maintain the relational database and its schemas.
Presents ideas for system improvements, produces detailed specifications, and writes program codes.
Tests the product in controlled and real situations before deployment.
Regularly maintains the systems once they are up and running.
Accomplishes engineering and organization goals by completing related tasks.
Develops software solutions by conferring with users, studying information needs, system flow, data usage and work processes, investigating problem areas,  and following the software development life cycle.", 10000000 – 18000000,"Nginx, MySQL, Git, Amazon Web Services (AWS), Laravel, PHP, Java, REST APIs, Golang, NoSQL, Agile Software Development, PostgreSQL, Spring, Redis",2022-04-20,https://www.techinasia.com/jobs/798fbaa6-e9cc-4ffe-90f1-afbefe55c7be,4567081539,en,Junior Level,10000000.0,18000000.0
232,Full-time,1 to 4 years,"Finance, Legal & Accounting",1.0,Dagangan,"Yogyakarta, Indonesia",Marketplaces,Legal Operations,"Handling day to day Legal operation such as review & drafting Rent agreement
Support procurement matters
Handling company permit & support litigation
Carry out impact and advice on regulatory change", 0 – 0,"Legal, Compliance, Drafting",2022-04-20,https://www.techinasia.com/jobs/9ccc0c76-5eca-4aa0-b63c-96579e831fad,7909545160,en,Junior Level,0.0,0.0
233,Full-time,1 to 4 years,Web Development,1.0,InnoArk,"Bandung, Java, Indonesia",Technology,Software Engineer (Ruby on Rail),"Be involved in the design and plan of how the Optimization algorithms can be implemented based on business requirements.
Apply your sound technical best practices in designing solutions.
Work with our existing technology and product team to develop company product offerings.
Be involved in Agile practices during product development cycles.
Providing solutions for issues and ideas to maintain and improve the current working system.
Writing quality code using .NET programming languages.
Be involved in designing the technical specifications and solution architecture.", 0 – 0,"Javascript, Ruby on Rails (RoR), CSS, jQuery, C#, Design Patterns, AJAX",2022-04-20,https://www.techinasia.com/jobs/5d39748f-e2fa-485e-bd74-45c797e43641,4201036160,en,Junior Level,0.0,0.0
234,Full-time,1 to 4 years,Sales & Business Development,1.0,Lion Parcel,"Bandung, Java, Indonesia",Logistics,Account Manager Bandung,"Level of education Bachelor/Diploma or equal
Good communication skill and correspondence (verbal or nonverbal) is mandatory
Familiar with Microsoft Office
Analytical thinking set
Familiar with Targets and data report
Has been working with similar background or experience in Sales field for minimal 2 years with a track records
Have a driving Licence A or C
Active English speaker and or any other will be an advantage
Station: Bandung", 0 – 0,"Sales  Marketing, Sales Strategy  Management, Sales",2022-04-20,https://www.techinasia.com/jobs/3039fc3d-3c02-4d8d-a51d-67c2f7660591,3312995843,en,Junior Level,0.0,0.0
235,Full-time,1 to 4 years,Retail & Wholesale,1.0,Lion Parcel,"Jakarta, Indonesia",Logistics,Acquisition Lead,"Level of education Bachelor/Diploma or equal
Good communication skill and correspondence (verbal or nonverbal) is mandatory
Familiar with Microsoft Office Analytical thinking set
Familiar with Targets and data report
Has been working with similar background or experience for a minimum 2-3 years 
Have a driving Licence A or C
Active English speaker and or any other will be an advantage", 0 – 0,"Sales  Marketing, Sales Strategy  Management, Sales Support, Sales Training, Sales",2022-04-20,https://www.techinasia.com/jobs/5cc46d49-07a0-4631-a047-be4ba133defc,3312995843,en,Junior Level,0.0,0.0
236,Full-time,1 to 4 years,Mobile Development,3.0,BGT Solution,"Jakarta, Indonesia",Technology,Mobile App Developer: Android and/or iOS,No Description, 8000000 – 20000000,"PHP, Javascript, Java, Python, MySQL, Adobe Photoshop, HTML5  CSS3",2022-04-20,https://www.techinasia.com/jobs/5a663926-960a-40b1-8103-476a2537c425,253772389,en,Junior Level,8000000.0,20000000.0
237,Full-time,1 to 4 years,Administrative & Clerical,1.0,Aruna,"Jakarta, Indonesia","Retail Food, Goods, Apparel, & Sport",Product Admin,"Handle administrative work by collaborating closely with the cross-functional team, i.e. engineering, marketing and product teams;
Maintains new and existing products' configurations or rules setup;
Performs a variety of clerical duties requiring knowledge of departmental procedures.", 0 – 0,"Google Apps, SQL, System Administration",2022-04-20,https://www.techinasia.com/jobs/ed2c89f2-f5c7-4737-bf60-f3bebb70a789,8340376782,en,Junior Level,0.0,0.0
238,Full-time,1 to 4 years,Enterprise Software & Systems,5.0,BGT Solution,"Jakarta, Indonesia",Technology,"Mid level/senior FULL STACK DEVELOPERS, with Wide knowledge of Development Systems (Python, Java, Go, C#, C++, JavaScript, React Native, etc) and Linux & Windows OS","At least 1 year of working experience in the related field is required for this position 
Strong organizational and project management skills 
Familiarity with JavaScript frameworks such as Angular JS / React / Amber 
Proficiency with server side languages such as Python / Node JS / Java 
Familiarity with database technology such as MySQL 
Familiarity with version control such as Git 
Basic understanding of front-end technologies and platforms, such as ReactJS, ReactNative, JavaScript, HTML5, and CSS3 
Integration of multiple data sources and database into one systems 
Experience with REST API", 10000000 – 20000000,"Javascript, Java, PHP, MySQL, Python, Adobe Photoshop, HTML5  CSS3",2022-04-20,https://www.techinasia.com/jobs/f63b76d6-1d2d-43fd-b437-adcc8280f7cf,253772389,en,Junior Level,10000000.0,20000000.0
239,Full-time,1 to 4 years,Human Resources,1.0,Hangry,"Jakarta, Indonesia",Hospitality,Payroll & Tax Associates,"Maintain and process payroll calculations and reports, including expatriates and freelancers.
Calculate and keep track of employee earnings and deductions.
Calculate and report Employee Income Taxation (monthly and yearly).
In charge of the company's payroll and tax issues.
Help to provide salary survey data to be used as a benchmark for our current salary matrix.
In charge of HR database records and employee compliance (ex: agreement).
Maintain HRIS to ensure that all processes are aligned and up to date.
Responsible for expat employees from onboarding to offboarding.
Collaborate closely with other team members on the company's employee benefits.
Update payroll, income tax, and benefits laws and regulations as they apply in the Indonesian government and report reporting line.", 0 – 0,"Microsoft Office, Microsoft Excel, Time Management, Analytical Skills, Communication Skills, Teamwork",2022-04-20,https://www.techinasia.com/jobs/a68560ca-a159-4d0a-a28d-08d76cb73f1f,4581603427,en,Junior Level,0.0,0.0
240,Full-time,1 to 4 years,Enterprise Software & Systems,1.0,PT. Sigma Solusi Servis,"Jakarta, Indonesia",Human Resources,Senior Javascript,"Basic Operating Systems (Sun Solaris, Unix, Windows, Linux)
Java Fundamental
SQL Fundamental & Database Concepts
Enterprise Database System (Oracle)
API Gateway
Spring Boot API
GIT
BSc/BA in Computer Science, Engineering or a related field
Fluency in English
JIRA", 10000000 – 15000000,"Java J2EE, Java, Javascript, Javascript Frameworks, Git, Github, Jira, SQL",2022-04-20,https://www.techinasia.com/jobs/079a0546-e84b-4bba-8c2c-c29a76700002,1472242596,en,Junior Level,10000000.0,15000000.0
241,Full-time,1 to 4 years,Marketing & PR,1.0,PT Pintu Kemana Saja (Pintu),"Jakarta, Indonesia",Business & Finance,Growth Marketing Specialist,No Description, 0 – 0,"Digital Marketing, Growth Hacking, Email Marketing",2022-04-20,https://www.techinasia.com/jobs/54c31e6c-d0ab-4f02-83bd-e7b17e7e841e,4245731609,en,Junior Level,0.0,0.0
242,Full-time,1 to 4 years,Mobile Development,1.0,PT Barito Integra Teknologi,"Jakarta, Indonesia",Technology,Associate Front End Developer,"Bachelor’s degree in computer science or any other relevant field
2-4 year work experience and or fresh graduate are welcome
Have technical understanding of Javascirpt, Java & Kotlin
Familiar with ReactNative, ReactJS, Redux
Basic knowledge with Javascript Front End testing & TDD
Have passion for developing simple and responsive for UI
Have strong interpersonal & communication skills and eager to learn
Team player & having good commitment on responsibilities
Have an English skills", 0 – 0,"PHP, Front-end Development, Software, Mobile Development",2022-04-20,https://www.techinasia.com/jobs/1ea7b158-c052-47aa-97db-d85f84c8cbf0,9312975933,en,Junior Level,0.0,0.0
243,Full-time,1 to 4 years,Human Resources,1.0,Amartha,"Manado, Indonesia",Technology,Regional People Partner (Southeast & North Sulawesi),"Fulfilling MPP needs in their branch to support the achievement of branch work targets.
Process all administration related to employees at the branch in accordance with applicable regulations in order to minimize the level of irregularities.
Conducting socialization and implementing all programs related to People and Culture in the branches that are their responsibility, in order to support the achievement of the Regional People Partner targets.
Manage and resolve employee relations issues by an effective, thorough and objective investigation.
Work closely with management and employees to improve working relationships, build morale, and increase productivity and retention.", 0 – 0,"Human Resources, Communication Skills, Negotiation",2022-04-20,https://www.techinasia.com/jobs/46482cd5-66f3-4c0c-900b-835101cd7cf6,1313657069,en,Junior Level,0.0,0.0
244,Full-time,1 to 4 years,Retail & Wholesale,1.0,Santai Studio,"Bandung, Java, Indonesia","Retail Food, Goods, Apparel, & Sport",brand manager - hijab brand,"Developing and implementing marketing strategies to effectively communicate products benefits
Monitoring product distribution and consumer reactions through focus groups and market research
Assessing the profitability of your product and improving on the current brand presence in the market
Keeping updated on the latest marketing trends as part of the planning process and execution of campaigns
Conduct consumer and market research
Identify how our brand is currently positioned in the market
Communicate our brand personality internally and align company around foundational ideas
Lead marketing team members through campaigns", 5000000 – 12000000,"Sales  Marketing, Communication Skills, Marketing, Marketing Communications, Marketing Strategy",2022-04-20,https://www.techinasia.com/jobs/50c91313-414b-4e89-98da-ebf64bc6f592,6351841662,en,Junior Level,5000000.0,12000000.0
245,Full-time,1 to 4 years,Retail & Wholesale,1.0,Santai Studio,"Bandung, Java, Indonesia","Retail Food, Goods, Apparel, & Sport",Brand manager - man fashion,"Developing and implementing marketing strategies to effectively communicate products benefits
Monitoring product distribution and consumer reactions through focus groups and market research
Assessing the profitability of your product and improving on the current brand presence in the market
Keeping updated on the latest marketing trends as part of the planning process and execution of campaigns
Conduct consumer and market research
Identify how our brand is currently positioned in the market
Communicate our brand personality internally and align company around foundational ideas
Lead marketing team members through campaigns", 5000000 – 12000000,"Marketing Strategy, Marketing, Marketing Communications, Product Management, Sales  Marketing",2022-04-20,https://www.techinasia.com/jobs/8fb2bad2-7900-4a14-9f5d-8121b09a3d72,6351841662,en,Junior Level,5000000.0,12000000.0
246,Full-time,1 to 4 years,Community Management,1.0,Santai Studio,"Bandung, Java, Indonesia","Retail Food, Goods, Apparel, & Sport",creative director - women fashion,"Work with the brand team to produce new ideas for company branding, promotional campaigns, and marketing communications.
Evaluate trends, assess new data and keep up-to-date with the latest marketing techniques.
Assist Brands in resolving issues by responding to questions in a timely and professional manner.
Create and implement tailored marketing plans based on individual client requirements.
Direct brainstorming meetings and creative sessions.
Shape brand standards and create procedures to ensure all products are brand appropriate.
Supervise the department's daily workflow, assign project workload, and monitor deadlines and budgets.
Develop exceptional and well-crafted copy that meet clients’ requirements.", 5000000 – 15000000,"Marketing, Marketing Strategy, Communication Skills, Content Marketing",2022-04-20,https://www.techinasia.com/jobs/83f8f637-d6c2-422a-8c2b-e916c7ef2b80,6351841662,en,Junior Level,5000000.0,15000000.0
247,Full-time,1 to 4 years,Project & Product Management,1.0,Quantum Select International,"Jakarta, Indonesia",Consulting,Project Manager (scrum master),No Description, 10000000 – 13000000,"Scrum Master, Agile Project Management, Scrum",2022-04-20,https://www.techinasia.com/jobs/cfd74848-0566-45c8-ac9f-e67db1cb50fa,2685666241,en,Junior Level,10000000.0,13000000.0
248,Full-time,1 to 4 years,Project & Product Management,1.0,Santai Studio,"Bandung, Java, Indonesia","Retail Food, Goods, Apparel, & Sport",Creative Director - Man Fahsion,"Work with the brand team to produce new ideas for company branding, promotional campaigns, and marketing communications.
Evaluate trends, assess new data and keep up-to-date with the latest marketing techniques.
Assist Brands in resolving issues by responding to questions in a timely and professional manner.
Create and implement tailored marketing plans based on individual client requirements.
Direct brainstorming meetings and creative sessions.
Shape brand standards and create procedures to ensure all products are brand appropriate.
Supervise the department's daily workflow, assign project workload, and monitor deadlines and budgets.
Develop exceptional and well-crafted copy that meet clients’ requirements.", 5000000 – 15000000,"Marketing Strategy, Communication Skills, Marketing Communications",2022-04-20,https://www.techinasia.com/jobs/338d9fa3-c8b7-4ef5-b7b1-5cbd3f0ceed0,6351841662,en,Junior Level,5000000.0,15000000.0
249,Full-time,1 to 4 years,Sales & Business Development,2.0,Lummo (BukuKas),"Samarinda, Kalimantan, Indonesia",Technology,Business Devlopment - Samarinda,"Responsible for identifying, prioritizing and acquiring the merchants in targeted categories
Own the full sales cycle from prospecting to close and drive new business sales
Actively searching for new leads through cold-calling, email, or social networks
Collaborate with business owners to provide bigger business opportunities and help to boost their revenue by using Tokko’s platform
Analyze consumer behavior, market insight, field situation, and market trends in your territory
Assist in organizing and coordinating micro internal and external events
Prepare sales forecasts and budgets; set transaction targets in areas like product mix, sales volume, market shares in their territory
Map out the high potential merchants in the category through different information channels (competitor data, industry data, events, etc.)
Drive order and manage the acquisition from end to end - from cold contact through to on-going account management with Tokko
Collaborate with internal monetization teams to facilitate cross-selling", 7500000 – 9000000,"Sales  Marketing, Business Development, Business Development  Partnerships",2022-04-20,https://www.techinasia.com/jobs/986340ac-852e-456d-a1b8-d10c217d5612,5719445146,en,Junior Level,7500000.0,9000000.0
250,Full-time,1 to 4 years,Sales & Business Development,5.0,Lummo (BukuKas),"Jakarta, Indonesia",Technology,Business Development - Bodetabek,"Responsible for identifying, prioritizing and acquiring the merchants in targeted categories
Own the full sales cycle from prospecting to close and drive new business sales
Actively searching for new leads through cold-calling, email, or social networks
Collaborate with business owners to provide bigger business opportunities and help to boost their revenue by using Tokko’s platform
Analyze consumer behavior, market insight, field situation, and market trends in your territory
Assist in organizing and coordinating micro internal and external events
Prepare sales forecasts and budgets; set transaction targets in areas like product mix, sales volume, market shares in their territory
Map out the high potential merchants in the category through different information channels (competitor data, industry data, events, etc.)
Drive order and manage the acquisition from end to end - from cold contact through to on-going account management with Tokko
Collaborate with internal monetization teams to facilitate cross-selling", 7500000 – 9000000,"Sales  Marketing, Business Development, Business Development  Partnerships",2022-04-20,https://www.techinasia.com/jobs/2db4eb7e-73f9-4e0a-9e40-9245f7048c31,5719445146,en,Junior Level,7500000.0,9000000.0
251,Full-time,1 to 4 years,Sales & Business Development,2.0,Lummo (BukuKas),"Makassar, Indonesia",Technology,Business Development - Makassar,"Responsible for identifying, prioritizing and acquiring the merchants in targeted categories
Own the full sales cycle from prospecting to close and drive new business sales
Actively searching for new leads through cold-calling, email, or social networks
Collaborate with business owners to provide bigger business opportunities and help to boost their revenue by using Tokko’s platform
Analyze consumer behavior, market insight, field situation, and market trends in your territory
Assist in organizing and coordinating micro internal and external events
Prepare sales forecasts and budgets; set transaction targets in areas like product mix, sales volume, market shares in their territory
Map out the high potential merchants in the category through different information channels (competitor data, industry data, events, etc.)
Drive order and manage the acquisition from end to end - from cold contact through to on-going account management with Tokko
Collaborate with internal monetization teams to facilitate cross-selling", 6000000 – 9000000,"Sales  Marketing, Business Development, Business Development  Partnerships",2022-04-20,https://www.techinasia.com/jobs/eebc4f84-381d-48d7-b45f-1e2c47915e10,5719445146,en,Junior Level,6000000.0,9000000.0
252,Full-time,1 to 4 years,Human Resources,1.0,"PT Tani Hub Indonesia (TaniHub, TaniFund)","Jakarta, Indonesia",Agricultural,Tech Talent Acquisition Specialist,No Description, 0 – 0,"Recruiting, Communication Skills, Negotiation",2022-04-20,https://www.techinasia.com/jobs/2a8c0e2f-02be-4c1e-9aed-3abc9b592e35,8605007079,en,Junior Level,0.0,0.0
253,Full-time,1 to 4 years,Customer Service,1.0,Purwadhika Digital Technology School,"Tangerang, Indonesia",Education,Student Service,"Have a minimum 1 year of related experience
Ability to lead and work collaboratively with others
Ability to manage multiple tasks simultaneously
Perform other duties as assigned", 0 – 0,"Customer Service, Creative Problem Solving, Communication Skills, Public Speaking",2022-04-20,https://www.techinasia.com/jobs/e75c699c-359a-49c5-b529-536bdb84cb3d,6027020301,en,Junior Level,0.0,0.0
254,Full-time,1 to 4 years,Marketing & PR,1.0,Jubelio,"Jakarta, Indonesia",Technology,Social Media Specialist,"Working together with overall marketing team to build and execute social media strategy through competitive research, benchmarking, and audience identification
Handling social media management (Analyze and Concepting company content to be able to create viral content)
Keep up to date with trends on Youtube and other social media platform, as well as analyzing current trends.
Create content plan and social media activation together with marketing of the brand
Boost Social Media Followers and create meaningful engagement across all brands’ assets
Analyze effectiveness of company social media activities (KPI, ROI,  Engangement, etc)", 6000000 – 8000000,"Marketing Strategy, Social Media Marketing, Content Marketing, Digital Marketing, Social Media Strategy, Social Media, Marketing, Marketing Communications, SEO",2022-04-20,https://www.techinasia.com/jobs/b2facc73-bd77-417a-bfd0-74078e09cb9d,7112155184,en,Junior Level,6000000.0,8000000.0
